Project Number,Project Name,Supplier Name,Purchasing Contract Record Series,Award Date,Termination Date,Estimated Project Completion,Project Completion
140116-TG,Traffic Signal Equipment-Mutual Use Contract,"Sierra Transportation & Technologies, LLC",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,03/20/2014,,03/20/2018
140123-RF,Q-Matic Hardware Maintenance Master Agreement,Q-Matic Corporation,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,03/20/2014,,03/20/2019
140134-SK,Purchase of (2) Ten-Wheel 15-Yard Dump Trucks,"Cashman Equipment Company, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,03/24/2014,,
140121-SK,ARC for Street Sweeper Brooms and Motors,Old Dominion Brush Co. Inc.,BID FILES,,03/31/2014,,09/01/2019
140121-SK,ARC for Street Sweeper Brooms and Motors,Old Dominion Brush Co. Inc.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,03/31/2014,,09/01/2019
140137-TG,Sign Shop Supplies and Sign Hardware,3M Company,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,03/31/2014,,03/31/2018
140155-CB,GASB 45 Actuarial Valuation for Fiscal Year 2013-14,L & E Actuaries & Consultants,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,03/31/2014,,
140132-SK,Purchase of CASE Skid Steer Loader,Hertz Equipment Rental Corporation,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/02/2014,,
140135-CB,Indemnity and Hold Harmless Agreement for File Transfers,"National Union Fire Insurance Company of Pittsburgh, PA",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/02/2014,,03/30/2019
140124-CB,Website Hosting Services for RDA,Adlava LLC,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/03/2014,,
140173-JL,Sprout Social Software,"Sprout Social, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/05/2014,,06/05/2018
140129-CB,Third-Party Worker's Compensation Administrative Services,"Cannon Cochran Management Services, Incorporated DBA CCMSI",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/04/2014,,04/04/2019
140146-DD,Amusement Park Rides Services,"Davis Amusement Cascadia, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/04/2014,,
140143-DC,"CMAA for Main Street Bonneville Avenue to I515, Phase 1",Jacobs Project Management Company,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/08/2014,,
140148-JH,Performance Contract for Energy Cost Saving Measures,JBA Consulting Engineers,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/08/2014,,
130230-RH,Durango Hills Golf Course Management Services,"OB Sports Golf Management, LLC",BID FILES,,04/10/2014,,04/30/2019
130230-RH,Durango Hills Golf Course Management Services,"OB Sports Golf Management, LLC",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/10/2014,,04/30/2019
140071-RH,Bentley 2010 SELECT Program Agreement,"Bentley Systems, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/10/2014,,12/31/2021
140142-RH,Property Tax Study and Consulting Services,Applied Analysis,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/10/2014,,
140139-TB,PDSA for Centennial Parkway Channel West,"G.C. Wallace, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/14/2014,,07/01/2018
13.47554-DC-B,CMAR Main Street Improvements Bonneville Avenue to Stewart Avenue,Las Vegas Paving Corp.,CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,04/16/2014,,
140144-DC,CMAA for Antelope-Westcliff Relief Sewer,Harris & Associates,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/16/2014,,
13.52146-TF,Casino Center BRT Curb Removal,"J & J Enterprises Services, Inc.",BID FILES,,04/17/2014,,01/05/2015
13.52146-TF,Casino Center BRT Curb Removal,"J & J Enterprises Services, Inc.",CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,04/17/2014,,01/05/2015
140044-TF,RSOQ for Las Vegas Bike Lanes,GC Wallace Inc.,BID FILES,,04/17/2014,,04/18/2016
140044-TF,RSOQ for Las Vegas Bike Lanes,GC Wallace Inc.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/17/2014,,04/18/2016
140044-TF,RSOQ for Las Vegas Bike Lanes,GC Wallace Inc.,BID FILES,,04/17/2014,,04/18/2016
140044-TF,RSOQ for Las Vegas Bike Lanes,GC Wallace Inc.,BID FILES,,04/17/2014,,04/18/2016
140045-SK,Vactor Truck NJPA Mutual Use Contract,Haaker Equipment Company,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/17/2014,,04/30/2016
140138-RF,Mutual Use Contract for Groundskeeping Materials,Simplot Partners,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/18/2014,,12/31/2018
140166-CB,Consulting Services for the Redesign of the LVF&R Emergency Medical Response Team,The Polaris Group,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/18/2014,,
14.50017-TF,Sunny Springs Skate Park Shade Structure,"Rafael Construction, Inc.",CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,04/21/2014,,
14.50017-TF,Sunny Springs Skate Park Shade Structure,"Rafael Construction, Inc.",BID FILES,,04/21/2014,,
12.44644-TF-B,CMAR for Traffic Signal Package,"Las Vegas Electric, Inc,",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/23/2014,,
140100-RH,Utility Billing Program Implementation and Consulting Services,"Intoollect, LLC",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/30/2014,,
14.1762.02-JWH,Sanitary Sewer Rehabilitation - Manhole DN-807 to DN-805,"Byrd Underground, LLC",BID FILES,,05/01/2014,,
14.1762.02-JWH,Sanitary Sewer Rehabilitation - Manhole DN-807 to DN-805,"Byrd Underground, LLC",CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,05/01/2014,,
140157-JL,Implan Software License Terms & Conditions,"Implan Group, LLC",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,05/07/2014,,12/31/2018
140110-CW,Investment Management Services,See 140110-CW-A & 140110-CW-B,BID FILES,,05/08/2014,,08/30/2017
140110-CW,Investment Management Services,See 140110-CW-A & 140110-CW-B,BID FILES,,05/08/2014,,08/30/2017
140110-CW,Investment Management Services,See 140110-CW-A & 140110-CW-B,BID FILES,,05/08/2014,,08/30/2017
140110-CW-A,Investment Management Services with Wells Capital Management,Wells Capital Management,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,05/08/2014,,06/30/2022
140160-DC,CMAA for Durango Hills WRC Relief Sewer,"HDR Engineering, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,05/08/2014,,
140110-CW-B,Investment Management Services with FTN Financial,"FTN Financial Main Street Advisors, LLC",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,05/14/2014,,06/30/2022
140149-DD,Gurney Maintenance,Stryker,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,05/15/2014,,03/30/2019
14.45651-JH,Racel Street Storm Drain Improvements,"Harber Company, Inc. DBA Mountain Cascade of Nevada",CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,05/19/2014,,
14.45651-JH,Racel Street Storm Drain Improvements,"Harber Company, Inc. DBA Mountain Cascade of Nevada",BID FILES,,05/19/2014,,
140164-DG,Aquas Pool Heating System CBE Sole Source,"Knorr Systems, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,05/20/2014,,
140167-CB,Resuscitation Quality Improvement Program,American Heart Association,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,05/20/2014,,05/20/2018
140168-DC,CMAA for Sewer Rehabilitation Group F,Black & Veatch Corporation,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,05/20/2014,,
140147-CB,Background Screening Services,"Accurate Background, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,05/21/2014,,
140171-GL,On-Line Training License,Coasting Traning Technologies Coporation,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,05/27/2014,,
14.51771-JH,Medical District Median Monument,"Richardson Contruction , Inc.",CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,05/28/2014,,
140119-DG,Replacement and Installation of Synthetic Grass Surfacing,"Sprinturf, LLC",BID FILES,,05/29/2014,,04/30/2019
140119-DG,Replacement and Installation of Synthetic Grass Surfacing,"Sprinturf, LLC",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,05/29/2014,,04/30/2019
12.26356-TF,Antelope Westcliff Relief Sewer,Las Vegas Paving Corporation,BID FILES,,06/03/2014,,
12.26356-TF,Antelope Westcliff Relief Sewer,Las Vegas Paving Corporation,CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,06/03/2014,,
140152-RF,Mutual Use Contract of LVVWD Bid for Diesel and Biodiesel Fuel,"Rebel Oil Company, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/03/2014,,10/01/2019
140165-JL,Gartner 2014 Master Client Agreement,"Gartner, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/03/2014,,02/28/2022
140169-JL,3G and 4G Wireless Remote Device Tunnel,"ProVision Communications, LLC",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/04/2014,,12/15/2018
13.36802-TB,Rancho-Fort Apache Storm Drain,"Meadow Valley Contractors, Inc.",BID FILES,,06/05/2014,,
13.36802-TB,Rancho-Fort Apache Storm Drain,"Meadow Valley Contractors, Inc.",BID FILES,,06/05/2014,,
13.36802-TB,Rancho-Fort Apache Storm Drain,"Meadow Valley Contractors, Inc.",CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,06/05/2014,,
13.48691-TB,CMAR for Detention and Enforcement Isolation Cell Addition,"Sletten Construction of NV., Inc.",BID FILES,,06/05/2014,,
13.48691-TB,CMAR for Detention and Enforcement Isolation Cell Addition,"Sletten Construction of NV., Inc.",BID FILES,,06/05/2014,,
14.51169-DC,East Charleston Bus Turnouts Bid Lot B,"Apec Consultants, Inc. DBA Fab 5 Construction",BID FILES,,06/05/2014,,
14.51169-DC,East Charleston Bus Turnouts Bid Lot B,"Apec Consultants, Inc. DBA Fab 5 Construction",CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,06/05/2014,,
14.51169-DC,East Charleston Bus Turnouts Bid Lot B,"Apec Consultants, Inc. DBA Fab 5 Construction",BID FILES,,06/05/2014,,
140125-SK,Blower Engines Oil Lubrication System,J.A. Tiberti Construction Co. Inc,BID FILES,,06/05/2014,,
140125-SK,Blower Engines Oil Lubrication System,J.A. Tiberti Construction Co. Inc,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/05/2014,,
140172-JH,"PSA for Gowan Outfall - Alexander Branch, Rancho to Decatur",Stanley Consultants Inc.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/05/2014,,06/30/2018
14.53541.01-TB,WPCF Blower Replacement,"MWH Constructors, Inc.",BID FILES,,08/25/2014,,
140179-JH,BSA General & Civil Engineering Services,GC Wallace Inc.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/05/2014,,06/05/2018
140188-CB,Contract for Executive Recruitment for Director of Parks and Recreation,Cooperative Personnel Services dba CPS HR Consulting,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/05/2014,,
140190-JL,FY 15 IT Online Training Program,Skillsoft Corporation,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/05/2014,,06/05/2018
140141-RH,Public Works Wage Reporting Web-Based Software License and Web-Hosting,"LCP Tracker, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/10/2014,,05/31/2020
140174-DC,CMAA for Rancho Storm Drain Fort Apache and Elkhorn,"Atkins North America, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/10/2014,,
140176-DC,CMAA for East Charleston Bus Turnouts,GC Wallace Inc.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/10/2014,,
140180-RH,PowerDMS SaaS Agreement,"PowerDMS, LLC.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/10/2014,,
140192-JL,Media Monitoring Services,Meltwater News US,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/10/2014,,08/31/2017
130116-CW,Public Attorneys for Indigent Defendants,See 130116-CW-A - 130116-CW-G,BID FILES,,06/16/2014,,
130116-CW,Public Attorneys for Indigent Defendants,See 130116-CW-A - 130116-CW-G,BID FILES,,06/16/2014,,
140159-TB,BNR Facilities Settlement Study,Brown and Caldwell,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/17/2014,,
13.53541.05-TB,Collection System Control Gate Las Vegas Wash/Owens Avenue,Contri Construction Company,BID FILES,,06/19/2014,,
13.53541.05-TB,Collection System Control Gate Las Vegas Wash/Owens Avenue,Contri Construction Company,CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,06/19/2014,,
130116-CW-G,Public Attorney Services for Indigent Defendants Law Office of Julian Gregory,Law Office of Julian Gregory,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/19/2014,,
140178-DC,PDSC for Gowan North Buffalo Branch Lone Mountain to Washburn,Parsons Brinckerhoff,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/19/2014,,06/18/2020
140170-JL,2014 Club EZ Rider,Regional Transportation Commission of Southern Nevada (RTC),CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/25/2014,,
14.48715-TF,Fire Station #1 Fuel Tank Replacement,"Petroleum Systems & Maintenance, Inc.",BID FILES,,06/26/2014,,
14.48715-TF,Fire Station #1 Fuel Tank Replacement,"Petroleum Systems & Maintenance, Inc.",CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,06/26/2014,,
140158-JH,EDSA for Pool Pump Retrofit,Aquatic Design Group,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,06/30/2014,,
140186-RH,Case Logistix Hosted Software Solutions Agreement,Thomson Reuters,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/03/2014,,
140200-DC,"CMAA for Sewer Rehabilitation Groups B, C & E",Parsons Brinckerhoff,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/07/2014,,
140193-JL,Evidence.com Software License,"TASER International, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/08/2014,,07/08/2018
140198-JH,Sidewalk Infill Project Arville & Hinson (Phase 4),GC Wallace Inc.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/08/2014,,07/08/2018
140199-DC,CMAA for Traffic Signal CMAR Package,Parsons Transportation Group Inc.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/09/2014,,
150006-RH,2014 Employee Engagement Survey,"Modern Survey, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/09/2014,,
140210-DC,CMAA Rancho Drive and Decatur Boulevard Improvements,VTN Nevada,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/16/2014,,07/16/2018
140220-JL,BlueHost Software,BlueHost Software,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/16/2014,,07/30/2018
150003-RH,"Access Management Suite Plus, Processor Perpetual Software License and Support Agreement",Oracle,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/16/2014,,
140194-JH,PDSA for I-15 Frontage Roads Alignment & Feasibility Study - Lake Mead to Washington,"Louis Berger Group, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/21/2014,,
14.35426-TB,Rancho Drive and Decatur Boulevard Improvements,Las Vegas Paving Corporation,BID FILES,,08/25/2014,,
140204-JH,"Downtown Pedestrian & Bicycle Improvements - Gass Avenue , Main Street to Charleston BLvd.",CH2M Hill Engineers Inc.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/21/2014,,07/21/2018
140205-JH,PDSC for 6th Street-Bridger to Stewart,Poggemeyer Design Group Inc.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/21/2014,,07/21/2018
140206-JH,PDSC for Coolidge Avenue-Main Street to 4th Street,Slater Hanifan Group Inc.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/21/2014,,07/21/2018
140207-JH,"PDSA for Downtown Pedestrian & Bicycle Improvements Carson Ave, Casino Center to 10th Street","Atkins North America, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/21/2014,,
130115-CB,RFP for E911 Phone System,Century Link,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/24/2014,,07/31/2021
130115-CB,RFP for E911 Phone System,Century Link,BID FILES,,07/24/2014,,07/31/2021
130115-CB,RFP for E911 Phone System,Century Link,BID FILES,,07/24/2014,,07/31/2021
140189-DG,Green Coat Recycled Paint,UCI GreenCoat LLC,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/24/2014,,06/30/2019
150008-RH,WebCenter Portal and Content Implementation Services,TEAM Informatics,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/29/2014,,
140055-JH,Material Testing Construction Inspection & Geotechnical,Aztech Materials Testing,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/30/2014,,07/30/2018
140092-CW,Mutual Use for Electronic Motinitoring of Offenders,Total Court Services DBA Scram Of Nevada,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/30/2014,,12/31/2019
140209-DC,BSC for Partnering Facilitation Services,Smith Culpt Consulting,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/30/2014,,07/31/2019
140219-DD,Physio Support,Physio Control Inc,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/30/2014,,06/30/2017
140112-CW,Online Legal Research Service Subscription Parking,Lexis Nexis Risk Solutions FL Inc.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/31/2014,,04/28/2018
150023-DD,Bam! It's a Picture Book,National Center for Childresn's Illustrated Literature,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,07/31/2014,,
140187-RF,Chevrolet OEM Parts and Services,Fairway Chevrolet,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,08/05/2014,,07/31/2019
140187-RF,Chevrolet OEM Parts and Services,Fairway Chevrolet,BID FILES,,08/05/2014,,07/31/2019
