district;school;growthstatus;pctpassingeogtests;pctfreereduced;hasstringsprogram;schoolscore;grade
Jackson County Schools;Blue Ridge School;Met;43.2;78.2;0;51;D
New Hanover County Schools;M C S Noble Middle;Exceeded;71.8;31.2;0;75;B
New Hanover County Schools;Sunset Park Elementary;Met;53.3;90.2;0;60;C
New Hanover County Schools;Pine Valley Elementary;Met;70.4;46.9;0;73;B
New Hanover County Schools;Wrightsboro Elementary;Met;48.7;81.6;0;55;C
New Hanover County Schools;Murrayville Elementary;Met;67.5;46.0;0;71;B
Wake County Schools;Morrisville Elementary;Exceeded;89.8;6.2;0;89;A
Onslow County Schools;Carolina Forest Elementary;Met;68.9;36.3;0;70;B
Newton Conover City Schools;Newton-Conover Middle;Met;52.2;65.1;0;57;C
Northampton County Schools;Gaston Elementary;NotMet;31.3;91.9;0;39;F
Northampton County Schools;Central Elementary;Met;40.3;77.2;0;49;D
Harnett County Schools;South Harnett Elementary;Exceeded;46.4;61.9;0;55;C
Onslow County Schools;Queens Creek Elementary;Exceeded;66.3;51.1;0;70;B
Guilford County Schools;Western Guilford High;Exceeded;58.9;44.6;0;75;B
Guilford County Schools;Ronald E. McNair Elementary;Met;36.7;81.4;0;45;D
Haywood County Schools;Hazelwood Elementary;NotMet;65.0;60.7;0;64;C
Wake County Schools;West Lake Elementary;Exceeded;72.3;18.0;0;76;B
Harnett County Schools;Erwin Elementary;Exceeded;48.3;66.4;0;56;C
Harnett County Schools;LaFayette Elementary;Met;68.3;41.7;0;70;B
Haywood County Schools;Canton Middle;Met;61.4;55.5;0;64;C
Halifax County Schools;Pittman Elementary;Exceeded;38.3;;0;48;D
Lincoln County Schools;Love Memorial Elementary;Exceeded;60.4;62.0;0;67;C
Lincoln County Schools;Rock Springs Elementary;Exceeded;79.3;26.4;0;81;B
Lincoln County Schools;Iron Station Elementary;Exceeded;70.3;57.6;0;74;B
Macon County Schools;South Macon Elementary;Exceeded;62.7;74.1;0;68;C
Madison County Schools;Hot Springs Elementary;Met;55.9;75.2;0;60;C
Lincoln County Schools;Union Elementary;Exceeded;72.9;50.0;0;77;B
Surry County Schools;Pilot Mountain Middle;NotMet;62.2;54.8;0;62;C
Vance County Schools;New Hope Elementary;NotMet;25.4;94.0;0;32;F
Wake County Schools;Lead Mine Elementary;NotMet;68.3;36.5;0;68;C
Lenoir County Public Schools;Southeast Elementary;Met;17.8;;0;30;F
Madison County Schools;Madison Early College High;Met;73.4;45.9;0;80;B
Wilkes County Schools;Wilkesboro Elementary;Exceeded;68.6;50.2;0;73;B
Mooresville City Schools;South Elementary;Exceeded;82.9;57.8;0;84;B
Moore County Schools;West End Elementary;NotMet;67.4;38.6;0;66;C
Mitchell County Schools;Bowman Middle;Exceeded;63.1;52.4;0;68;C
Mitchell County Schools;Mitchell High;Exceeded;63.0;46.2;0;75;B
Moore County Schools;West Pine Elementary;Met;81.1;33.0;0;81;B
Montgomery County Schools;West Middle;NotMet;44.6;64.8;0;49;D
Martin County Schools;Riverside Middle;Met;47.7;67.2;0;55;C
Moore County Schools;West Pine Middle;Met;76.1;26.3;0;77;B
Polk County Schools;Polk County High School;Met;65.6;45.8;0;76;B
Pitt County Schools;Wellcome Middle;NotMet;32.0;90.6;0;39;F
Rowan-Salisbury Schools;Granite Quarry Elementary;NotMet;50.7;63.5;0;53;D
Rockingham County Schools;Rockingham County Middle;NotMet;54.9;45.0;0;58;C
Roanoke Rapids City Schools;Chaloner Middle;Exceeded;47.4;57.7;0;55;C
Robeson County Schools;Lumberton Senior High;NotMet;35.0;68.7;0;57;C
Rockingham County Schools;J E Holmes Middle;NotMet;44.7;67.0;0;47;D
Robeson County Schools;Saint Pauls High;Exceeded;40.6;79.3;0;64;C
Robeson County Schools;Oxendine Elementary;Met;36.7;84.4;0;46;D
Robeson County Schools;East Robeson Primary;Met;49.3;73.8;0;56;C
Wake County Schools;Briarcliff Elementary;Met;75.0;38.3;0;76;B
Robeson County Schools;Fairgrove Middle;Met;38.6;87.4;0;45;D
Stanly County Schools;West Stanly Middle School;Exceeded;58.5;43.4;0;66;C
Stanly County Schools;East Albemarle Elementary;NotMet;35.4;78.8;0;40;D
Rowan-Salisbury Schools;Mt Ulla Elementary;Met;55.0;57.9;0;60;C
Stanly County Schools;North Stanly High;NotMet;54.3;46.2;0;65;C
Sampson County Schools;Midway Middle;Exceeded;62.4;51.5;0;67;C
Stanly County Schools;Endy Elementary;NotMet;72.0;49.8;0;71;B
Stokes County Schools;Stokes Early College;Met;85.5;47.2;0;89;A
Stanly County Schools;Central Elementary;Met;51.0;80.2;0;56;C
Stokes County Schools;Piney Grove Middle;Met;54.4;54.5;0;59;C
Sampson County Schools;Lakewood High;NotMet;37.3;64.8;0;56;C
Union County Public Schools;Indian Trail Elementary;Exceeded;72.6;34.8;0;76;B
Stokes County Schools;Pinnacle Elementary;Exceeded;55.7;64.5;0;63;C
Stokes County Schools;South Stokes High;Exceeded;63.8;43.4;0;74;B
Wake County Schools;Panther Creek High;Exceeded;80.4;11.6;0;89;A
Transylvania County Schools;Brevard High;NotMet;68.9;42.9;0;71;B
Swain County Schools;Swain County Middle;Exceeded;47.8;63.0;0;55;C
Swain County Schools;Swain Co West Elementary;Met;67.8;64.5;0;71;B
Surry County Schools;Dobson Elementary;NotMet;69.1;65.4;0;68;C
Thomasville City Schools;Thomasville High;Met;37.1;79.7;0;57;C
Surry County Schools;Shoals Elementary;Met;80.4;48.5;0;81;B
Union County Public Schools;Weddington High;Exceeded;87.7;7.6;0;91;A
Wake County Schools;East Garner Elementary;Exceeded;49.4;73.4;0;57;C
Vance County Schools;E O Young Jr Elementary;NotMet;29.9;88.0;0;35;F
Wake County Schools;Holly Grove Elementary;NotMet;81.4;12.0;0;79;B
Wake County Schools;Knightdale Elementary;NotMet;50.2;67.1;0;53;D
Wake County Schools;Aversboro Elementary;Met;59.0;53.5;0;64;C
Wake County Schools;Heritage High;Exceeded;66.0;26.0;0;77;B
Wake County Schools;Cary Elementary;NotMet;72.5;42.3;0;71;B
Vance County Schools;Dabney Elementary;Met;44.0;85.1;0;50;D
Vance County Schools;Pinkston Street Elementary;NotMet;49.2;;0;52;D
Wilkes County Schools;Roaring River Elementary;Exceeded;44.7;68.8;0;54;D
Wilkes County Schools;Wilkes Early College High;Met;71.1;59.4;0;77;B
Wilkes County Schools;Central Wilkes Middle;NotMet;45.0;65.1;0;47;D
Wilkes County Schools;Millers Creek Elementary;Met;57.0;66.8;0;63;C
Wilkes County Schools;East Wilkes Middle;Exceeded;57.7;61.4;0;63;C
Yancey County Schools;Clearmont Elementary;Met;47.6;64.3;0;55;C
Wilson County Schools;Speight Middle;NotMet;43.4;76.3;0;47;D
Wilkes County Schools;West Wilkes High;Met;59.7;49.2;0;72;B
Wake County Schools;Wake Forest Middle School;Exceeded;61.1;39.1;1;66;C
Wake County Schools;Middle Creek Elementary;Exceeded;79.6;18.5;0;82;B
Wake County Schools;Northwoods Elementary;Exceeded;66.5;39.5;0;70;B
Wake County Schools;Leesville Road Elementary;Met;70.8;27.8;0;71;B
Wake County Schools;Wendell Elementary;Exceeded;52.1;57.3;0;60;C
Wake County Schools;Wiley Elementary;Exceeded;70.6;28.1;0;74;B
Wake County Schools;Wake Forest Elementary;Met;72.3;38.1;0;73;B
Wake County Schools;Mills Park Elementary;Met;87.9;8.3;0;86;A
Wake County Schools;Wakefield High;Exceeded;67.0;28.6;1;79;B
Wake County Schools;Mills Park Middle;Met;82.4;11.0;0;80;B
Weldon City Schools;Roanoke Valley Early College;NotMet;53.7;58.6;0;63;C
Wilson County Schools;Wilson Early College Academy;Met;85.7;57.6;0;85;A
Wayne County Public Schools;Norwayne Middle;Exceeded;60.2;51.3;0;68;C
Watauga County Schools;Parkway Elementary;Exceeded;70.8;40.8;0;75;B
Warren County Schools;Warren Early College High;Met;48.0;48.2;0;65;C
Warren County Schools;Northside Elementary;NotMet;22.9;85.3;0;30;F
Wayne County Public Schools;Brogden Primary;Met;28.6;90.6;0;39;F
Warren County Schools;Vaughan Elementary;Met;52.2;79.8;0;56;C
Whiteville City Schools;Central Middle;Met;52.9;67.1;0;57;C
Weldon City Schools;Weldon Elementary;Met;26.1;85.6;0;35;F
Rutherford County Schools;Sunshine Elementary School;NotMet;64.7;68.0;0;65;C
Rutherford County Schools;Rutherfordton Elementary School;Met;56.3;65.2;0;60;C
Scotland County Schools;Laurel Hill Elementary;NotMet;74.9;76.6;0;74;B
Sampson County Schools;Salemburg Elementary;Exceeded;47.3;61.5;0;57;C
Sampson County Schools;Union Elementary;Exceeded;61.4;62.6;0;68;C
Sampson County Schools;Hobbton Elementary;NotMet;60.6;58.4;0;61;C
Rutherford County Schools;R-S Middle School;Met;49.4;64.9;0;56;C
Sampson County Schools;Union High;Met;32.0;70.9;0;58;C
Union County Public Schools;Marvin Ridge Middle;Exceeded;90.5;;0;92;A
Cleveland County Schools;Boiling Springs Elementary;Exceeded;74.5;55.0;0;78;B
Charlotte-Mecklenburg Schools;Endhaven Elementary;Exceeded;73.8;28.1;0;77;B
Alamance-Burlington Schools;South Graham Elementary;Met;38.8;82.1;0;47;D
Alamance-Burlington Schools;Grove Park Elementary;Met;38.8;79.5;0;48;D
Forsyth County Schools;Clemmons Elementary;Exceeded;83.1;18.6;0;84;B
Iredell-Statesville Schools;Troutman Elementary;Met;54.6;51.7;0;60;C
Burke County Schools;Liberty Middle;Exceeded;62.4;49.3;0;68;C
Johnston County Schools;Selma Elementary;Met;33.3;92.8;0;41;D
Alamance-Burlington Schools;Graham Middle;Met;32.5;80.7;0;42;D
Charter Schools;The Mountain Community Sch;Exceeded;64.4;7.5;0;69;C
Charter Schools;Oxford Preparatory High;NotMet;53.2;23.2;0;54;D
Charter Schools;Pinnacle Classical Academy;Met;67.3;13.9;0;69;C
Charter Schools;Mountain Discovery;Exceeded;76.6;50.0;0;79;B
Charter Schools;PreEminent Charter;NotMet;29.7;71.6;0;36;F
Charter Schools;Phoenix Academy;NotMet;56.1;10.0;0;57;C
Charter Schools;Socrates Academy;Met;85.1;15.7;0;85;A
Charter Schools;STARS Charter;Met;49.3;31.1;0;54;D
Guilford County Schools;Gillespie Park Elementary;Met;30.5;;0;40;D
Charter Schools;Metrolina Reg Scholars Academy;Met;;;0;94;A
Cumberland County Schools;Stoney Point Elementary;Exceeded;74.6;27.0;0;77;B
Currituck County Schools;Knotts Island Elementary;NotMet;74.1;44.2;0;71;B
Forsyth County Schools;Kernersville Elementary;Exceeded;52.2;76.7;0;60;C
Currituck County Schools;Jarvisburg Elementary;NotMet;54.7;54.1;0;58;C
Davidson County Schools;Davis-Townsend Elementary;Met;65.8;46.1;0;67;C
Forsyth County Schools;Northwest Middle;Exceeded;42.7;70.3;0;52;D
Davidson County Schools;Davidson Early College;Met;75.8;50.0;0;87;A
Johnston County Schools;Clayton High;NotMet;56.9;30.7;0;66;C
Iredell-Statesville Schools;Cloverleaf Elementary;Exceeded;43.0;66.5;0;52;D
Granville County Schools;Butner-Stem Middle;NotMet;34.9;63.6;0;40;D
Gaston County Schools;North Belmont Elementary;Met;41.3;70.4;0;49;D
Rowan-Salisbury Schools;China Grove Elementary;Met;47.7;65.5;0;55;C
Person County Schools;North End Elementary;Met;53.6;71.6;0;59;C
Gaston County Schools;Stuart W Cramer High;Met;58.9;41.0;0;61;C
Guilford County Schools;Bluford Elementary;Met;33.8;89.8;0;43;D
Gaston County Schools;New Hope Elementary;Met;79.6;28.9;0;79;B
Gates County Schools;Central Middle;Met;51.6;54.8;0;58;C
Guilford County Schools;Brown Summit Middle;NotMet;;15.7;0;90;A
Forsyth County Schools;Sherwood Forest Elementary;Exceeded;84.2;17.9;0;85;A
Forsyth County Schools;Winston-Salem Preparatory Acad;Met;22.4;88.4;0;39;F
Granville County Schools;Northern Granville Middle;NotMet;35.5;62.3;0;41;D
Forsyth County Schools;Walkertown Elementary;NotMet;54.3;65.3;0;55;C
Forsyth County Schools;Whitaker Elementary;Exceeded;90.3;15.7;0;91;A
Lincoln County Schools;Childers Elementary;Exceeded;74.7;62.0;0;78;B
Forsyth County Schools;The Downtown School;Exceeded;83.6;13.0;0;85;A
Forsyth County Schools;Paisley IB Magnet School;Met;57.6;57.1;0;62;C
Forsyth County Schools;Wiley Middle;Met;39.7;74.8;0;46;D
Forsyth County Schools;Old Town Elementary;NotMet;38.9;;0;43;D
Gaston County Schools;Belmont Central Elementary;Exceeded;74.3;28.9;0;78;B
Franklin County Schools;Youngsville Elementary;Exceeded;71.5;45.3;0;75;B
Gaston County Schools;Gardner Park Elementary;Exceeded;53.9;73.6;0;61;C
Gaston County Schools;Ida Rankin Elementary School;Met;55.4;55.7;0;60;C
Gaston County Schools;Kiser Elementary;Exceeded;50.3;57.4;0;58;C
Gaston County Schools;Belmont Middle;Exceeded;66.8;39.2;0;71;B
Franklin County Schools;Franklinton High;NotMet;46.4;46.1;0;61;C
Gaston County Schools;Lowell Elementary;Met;49.6;58.7;0;55;C
Gaston County Schools;Cramerton Middle;Met;66.8;28.0;0;68;C
Rowan-Salisbury Schools;Knox Middle;Met;32.4;83.8;0;42;D
Wake County Schools;Wake Young Women's Leadership Academy;Exceeded;74.5;37.0;0;78;B
Guilford County Schools;Jamestown Middle;Exceeded;59.8;56.6;0;66;C
Guilford County Schools;Jamestown Elementary;Met;47.2;75.8;0;53;D
Guilford County Schools;Morehead Elementary;Met;72.8;58.1;0;74;B
Wilson County Schools;Elm City Elementary;Met;45.6;78.5;0;51;D
Guilford County Schools;Kiser Middle;Met;53.9;56.8;0;58;C
Charlotte-Mecklenburg Schools;Cotswold Elementary;NotMet;67.0;38.6;0;66;C
Charlotte-Mecklenburg Schools;Blythe Elementary;Exceeded;64.3;48.4;0;69;C
Wayne County Public Schools;Northwest Elementary;NotMet;55.1;43.8;0;58;C
Anson County Schools;Anson Co. Early College High;Met;47.2;51.1;0;65;C
Craven County Schools;Creekside Elementary;Exceeded;70.2;27.4;0;74;B
Alamance-Burlington Schools;Turrentine Middle;NotMet;45.7;65.8;0;47;D
Chatham County Schools;Bennett School;Exceeded;61.5;43.0;0;67;C
Avery County Schools;Avery County High;NotMet;38.4;53.9;0;66;C
Franklin County Schools;Louisburg High;Met;49.3;61.0;0;68;C
Randolph County Schools;Wheatmore High;Met;56.3;34.0;0;71;B
Charlotte-Mecklenburg Schools;Reedy Creek Elementary;Exceeded;49.9;71.5;0;57;C
Charlotte-Mecklenburg Schools;J M Alexander Middle;Exceeded;59.6;43.3;0;67;C
Charlotte-Mecklenburg Schools;Long Creek Elementary;Exceeded;57.9;54.1;0;64;C
Catawba County Schools;Clyde Campbell Elementary;Exceeded;69.4;39.5;0;75;B
Catawba County Schools;Mountain View Elementary;Exceeded;69.1;44.5;0;73;B
Alexander County Schools;East Alexander Middle;NotMet;50.5;63.9;0;54;D
Bladen County Schools;B T Washington Primary;Met;50.0;92.7;0;54;D
Burke County Schools;Mull Elementary;Exceeded;65.2;65.0;0;69;C
Forsyth County Schools;Meadowlark Middle;Met;71.4;22.9;0;73;B
Anson County Schools;Anson Middle;NotMet;35.7;78.6;0;40;D
Charlotte-Mecklenburg Schools;Collinswood Language Academy;Exceeded;81.3;54.1;0;83;B
Carteret County Public Schools;Morehead City Middle;Exceeded;66.3;36.4;0;70;B
Catawba County Schools;Sherrills Ford Elementary;Exceeded;71.2;28.2;0;76;B
Carteret County Public Schools;West Carteret High;Exceeded;73.4;37.7;0;84;B
Charlotte-Mecklenburg Schools;Montclaire Elementary;Met;37.5;91.0;0;46;D
Haywood County Schools;Junaluska Elementary;Exceeded;78.4;47.2;0;81;B
Catawba County Schools;Claremont Elementary;Exceeded;58.6;60.1;0;65;C
Catawba County Schools;Maiden Elementary;Exceeded;50.4;58.3;0;58;C
Camden County Schools;Camden Intermediate;Met;65.5;35.2;0;68;C
Caswell County Schools;South Elementary;Met;52.4;66.5;0;58;C
Charlotte-Mecklenburg Schools;Mountain Island Elementary;Exceeded;67.0;52.9;0;73;B
Charlotte-Mecklenburg Schools;Olde Providence Elementary;Met;83.6;15.1;0;83;B
Charlotte-Mecklenburg Schools;Clear Creek Elementary;Met;66.4;57.0;0;69;C
Wayne County Public Schools;Southern Wayne High;NotMet;34.3;67.0;0;51;D
Buncombe County Schools;Fairview Elementary;Exceeded;63.8;46.3;0;69;C
Buncombe County Schools;Barnardsville Elementary;Met;58.5;69.0;0;64;C
Buncombe County Schools;Candler Elementary;NotMet;60.2;65.2;0;61;C
Buncombe County Schools;Emma Elementary;Exceeded;42.5;93.2;0;52;D
Thomasville City Schools;Thomasville Primary;Met;42.6;90.8;0;50;D
Charter Schools;PACE Academy;Met;26.5;71.1;0;49;D
Charlotte-Mecklenburg Schools;Harding University High;Exceeded;36.8;81.7;0;59;C
Charlotte-Mecklenburg Schools;Hornets Nest Elementary;Exceeded;46.3;79.7;0;55;C
Chapel Hill-Carrboro Schools;Morris Grove Elementary;Exceeded;81.2;23.0;0;84;B
Chapel Hill-Carrboro Schools;East Chapel Hill High;Exceeded;79.7;20.6;0;87;A
Charlotte-Mecklenburg Schools;Piedmont IB Middle;Exceeded;83.3;40.1;0;87;A
Chapel Hill-Carrboro Schools;Carrboro High;Exceeded;78.4;20.2;0;85;A
Chapel Hill-Carrboro Schools;Scroggs Elementary;Met;79.9;26.2;0;79;B
Cleveland County Schools;Casar Elementary;Exceeded;65.5;62.8;0;70;B
Charlotte-Mecklenburg Schools;Hawthorne High;Met;22.4;89.7;0;51;D
Charlotte-Mecklenburg Schools;Druid Hills Academy;Exceeded;31.9;;0;45;D
Charter Schools;Casa Esperanza Montessori Charter School;Exceeded;77.1;18.6;0;79;B
Johnston County Schools;North Johnston Middle;Exceeded;50.8;58.6;0;59;C
Onslow County Schools;Clyde Erwin Elementary;Exceeded;47.1;74.6;0;55;C
Charter Schools;Children's Village Academy;Exceeded;24.8;94.6;0;37;F
Charter Schools;Corvian Community School;Met;78.5;;0;78;B
Macon County Schools;Macon Early College High School;Met;73.7;54.1;0;78;B
Davie County Schools;Davie County Early College High;Met;93.9;37.5;0;94;A
Davidson County Schools;Silver Valley Elementary;Met;46.5;77.3;0;53;D
Davidson County Schools;Southwood Elementary;NotMet;49.9;69.2;0;54;D
Duplin County Schools;B F Grady Elementary;NotMet;39.8;83.1;0;45;D
Davidson County Schools;Tyro Elementary;Exceeded;59.6;60.2;0;66;C
Henderson County Schools;Etowah Elementary;NotMet;74.4;55.6;0;73;B
Davie County Schools;South Davie Middle;Exceeded;62.7;60.1;0;68;C
Davie County Schools;Davie County High;Met;65.1;35.1;0;74;B
Edgecombe County Public School;C B Martin Middle;NotMet;21.2;88.1;0;27;F
Edgecombe County Public School;North Edgecombe High;Met;25.3;84.2;0;48;D
Rowan-Salisbury Schools;Rockwell Elementary;Exceeded;59.2;54.0;0;65;C
Edenton-Chowan Schools;D F Walker Elementary;NotMet;51.5;65.9;0;54;D
Durham Public Schools;Rogers-Herr Middle;Exceeded;60.6;45.2;0;66;C
Durham Public Schools;George Watts Elementary;Met;61.7;47.8;0;65;C
Durham Public Schools;Glenn Elementary;NotMet;33.1;91.1;0;40;D
Rowan-Salisbury Schools;Morgan Elementary;Met;52.7;56.6;0;57;C
Person County Schools;Northern Middle;Met;45.8;70.9;0;53;D
Durham Public Schools;Neal Middle;NotMet;27.0;83.8;0;33;F
Edgecombe County Public School;SouthWest Edgecombe High;Exceeded;42.5;68.5;0;61;C
Forsyth County Schools;East Forsyth Middle School;NotMet;38.1;71.9;0;42;D
Iredell-Statesville Schools;East Iredell Elementary;Met;36.6;73.7;0;46;D
Harnett County Schools;Johnsonville Elementary;NotMet;33.5;74.6;0;38;F
Forsyth County Schools;Kimmel Farm Elementary;NotMet;43.0;59.4;0;46;D
Henderson County Schools;Flat Rock Middle;Exceeded;64.0;65.1;0;70;B
Wake County Schools;Rand Road Elementary;Met;66.8;31.6;0;68;C
Forsyth County Schools;Forest Park Elementary;Met;37.8;;0;47;D
Alamance-Burlington Schools;B Everett Jordan Elem;NotMet;47.3;57.1;0;50;D
Alamance-Burlington Schools;Altamahaw Ossipee Elem;Met;65.0;43.3;0;67;C
Catawba County Schools;River Bend Middle;Exceeded;48.6;62.0;0;58;C
Cabarrus County Schools;C C Griffin Middle;NotMet;41.7;61.1;0;46;D
Ashe County Schools;Westwood Elementary;Exceeded;66.2;60.5;0;71;B
Asheboro City Schools;South Asheboro Middle;Met;43.5;63.5;0;50;D
Charlotte-Mecklenburg Schools;Sedgefield Elementary;Exceeded;53.3;;0;60;C
Forsyth County Schools;Cook Elementary;NotMet;10.6;;0;22;F
Rockingham County Schools;Central Elementary;Exceeded;58.9;61.1;0;66;C
Robeson County Schools;Rex-Rennert Elementary;NotMet;19.3;85.6;0;27;F
Robeson County Schools;Saint Pauls Middle;Exceeded;38.9;84.1;0;51;D
Robeson County Schools;Red Springs Middle;Exceeded;31.2;90.1;0;43;D
Robeson County Schools;Red Springs High;Exceeded;32.3;85.2;0;60;C
Robeson County Schools;Purnell Swett High;NotMet;37.6;73.3;0;58;C
Robeson County Schools;Tanglewood Elementary;Met;71.3;40.0;0;74;B
Robeson County Schools;R B Dean Elementary;Met;21.8;75.1;0;32;F
Cabarrus County Schools;Northwest Cabarrus Middle;Exceeded;55.4;51.1;0;62;C
Cabarrus County Schools;Harold E. Winkler Middle;Exceeded;54.7;49.7;0;62;C
Cabarrus County Schools;Performance Learning Center;N/A;28.3;46.7;0;62;C
Cabarrus County Schools;Hickory Ridge Middle;Exceeded;69.4;20.9;0;74;B
Anson County Schools;Lilesville Elementary;Exceeded;38.2;79.7;0;49;D
Asheville City Schools;Claxton Elementary;Exceeded;73.1;42.1;0;76;B
Asheville City Schools;Isaac Dickson Elementary;Met;79.7;40.9;0;80;B
Rowan-Salisbury Schools;South Rowan High;NotMet;42.3;49.0;0;58;C
Avery County Schools;Banner Elk Elementary;Met;64.5;46.5;0;69;C
Buncombe County Schools;Owen Middle;NotMet;55.3;63.7;0;58;C
Cabarrus County Schools;Charles E Boger Elementary;NotMet;62.6;35.6;0;64;C
Charlotte-Mecklenburg Schools;River Oaks Academy;NotMet;41.4;72.4;0;44;D
Cabarrus County Schools;Weddington Hills Elementary;Met;57.9;65.5;0;63;C
Newton Conover City Schools;South Newton Elementary;Met;52.3;72.0;0;58;C
Cabarrus County Schools;Hickory Ridge High;Exceeded;72.2;18.9;0;83;B
Buncombe County Schools;Williams Elementary;NotMet;55.8;72.6;0;59;C
Cabarrus County Schools;Bethel Elementary;NotMet;56.9;38.4;0;58;C
Burke County Schools;East Burke Middle;Exceeded;69.0;59.6;0;74;B
Charlotte-Mecklenburg Schools;Randolph Middle;Met;76.3;44.4;0;76;B
Caswell County Schools;North Elementary;Met;59.7;72.3;0;64;C
Charlotte-Mecklenburg Schools;Windsor Park Elementary;Exceeded;62.0;89.1;0;68;C
Mooresville City Schools;Park View Elementary;Exceeded;87.2;50.1;0;89;A
Brunswick County Schools;Town Creek Elementary;NotMet;48.0;59.0;0;51;D
Brunswick County Schools;South Brunswick Middle;NotMet;57.1;51.7;0;58;C
Brunswick County Schools;Belville Elementary;NotMet;55.6;55.8;0;55;C
Brunswick County Schools;Supply Elementary;NotMet;44.6;82.6;0;48;D
Bladen County Schools;East Arcadia Elementary;Met;30.3;59.7;0;40;D
Bladen County Schools;Dublin Primary;Exceeded;59.7;73.2;0;65;C
Charter Schools;Rocky Mount Preparatory;NotMet;35.8;71.2;0;43;D
Bladen County Schools;West Bladen High;NotMet;36.0;58.8;0;56;C
Beaufort County Schools;Beaufort Co Early College High;Exceeded;81.9;48.5;0;88;A
Avery County Schools;Freedom Trail Elementary;Exceeded;55.2;76.5;0;61;C
Scotland County Schools;Spring Hill Middle;Exceeded;59.4;74.3;0;65;C
Avery County Schools;Crossnore Elementary;Exceeded;74.8;52.5;0;79;B
Avery County Schools;Riverside Elementary;Exceeded;51.5;67.4;0;59;C
Burke County Schools;Oak Hill Elementary;Exceeded;57.0;59.6;0;63;C
Guilford County Schools;Jesse Wharton Elem;NotMet;65.1;35.0;0;66;C
Beaufort County Schools;Bath Elementary;NotMet;70.9;35.2;0;70;B
Beaufort County Schools;P S Jones Middle;Met;43.2;69.4;0;50;D
Wake County Schools;Joyner Elementary;NotMet;74.9;25.0;0;73;B
Cabarrus County Schools;Cabarrus-Kannapolis Early Coll;Met;84.5;44.6;0;87;A
Guilford County Schools;Southwest Guilford Middle;NotMet;61.9;44.6;0;61;C
Haywood County Schools;Riverbend Elementary;Exceeded;87.9;48.6;0;89;A
Buncombe County Schools;North Buncombe Elementary;Met;59.4;59.1;0;64;C
Buncombe County Schools;Pisgah Elementary;Exceeded;78.0;67.6;0;80;B
Buncombe County Schools;Haw Creek Elementary;NotMet;65.8;50.5;0;65;C
Buncombe County Schools;North Buncombe High;Met;64.2;38.0;0;75;B
Buncombe County Schools;Oakley Elementary;Met;50.1;76.6;0;56;C
Buncombe County Schools;Reynolds High;NotMet;64.5;40.5;0;72;B
Buncombe County Schools;Roberson High;NotMet;67.8;37.1;0;75;B
Charlotte-Mecklenburg Schools;Waddell Language Academy;Exceeded;77.0;31.4;0;79;B
Charlotte-Mecklenburg Schools;Whitewater Middle;NotMet;30.3;85.3;0;36;F
Guilford County Schools;Allen Middle;Exceeded;39.6;90.0;0;51;D
Wake County Schools;Powell Elementary;Met;49.4;53.5;1;56;C
Randolph County Schools;Franklinville Elementary;Exceeded;60.7;67.5;0;66;C
Randolph County Schools;John R Lawrence Elementary;NotMet;56.2;42.1;0;56;C
Randolph County Schools;Northeastern Randolph Middle;Met;52.3;55.2;0;58;C
Richmond County Schools;Mineral Springs Elementary;Met;41.7;87.6;0;49;D
Richmond County Schools;Monroe Avenue Elementary;Met;39.9;91.3;0;47;D
Randolph County Schools;Randleman Elementary;NotMet;48.5;74.7;0;51;D
Richmond County Schools;Ellerbe Middle;Exceeded;44.0;90.0;0;53;D
Randolph County Schools;Uwharrie Middle;NotMet;50.6;49.5;0;51;D
Robeson County Schools;Pembroke Middle;NotMet;34.9;83.3;0;40;D
Rockingham County Schools;Williamsburg Elementary;Exceeded;49.2;77.5;0;57;C
Wilkes County Schools;Moravian Falls Elementary;Exceeded;61.0;86.1;0;67;C
Rutherford County Schools;Harris Elementary School;NotMet;60.6;70.7;0;62;C
Rockingham County Schools;Moss Street Elementary;NotMet;30.9;93.1;0;36;F
Rowan-Salisbury Schools;Millbridge Elementary;Exceeded;62.4;50.5;0;67;C
Rockingham County Schools;Douglass Elementary;Exceeded;56.3;68.4;0;64;C
Rowan-Salisbury Schools;East Rowan High;Exceeded;53.3;41.9;0;71;B
Rowan-Salisbury Schools;Bostian Elementary;Met;67.8;44.4;0;70;B
Rowan-Salisbury Schools;Koontz Elementary;Met;33.4;90.8;0;42;D
Charlotte-Mecklenburg Schools;Olympic High -Intl Bus and Comm Studies;Exceeded;43.8;65.1;0;62;C
Charlotte-Mecklenburg Schools;University Meadows Elementary;NotMet;52.0;75.0;0;55;C
Charlotte-Mecklenburg Schools;Pinewood Elementary;Exceeded;49.4;80.9;0;58;C
Charlotte-Mecklenburg Schools;Ridge Road Middle;Exceeded;58.6;52.4;0;67;C
Charlotte-Mecklenburg Schools;Polo Ridge Elementary;Met;88.2;5.7;0;87;A
Charlotte-Mecklenburg Schools;Lake Wylie Elementary;Met;55.3;60.0;0;60;C
Charlotte-Mecklenburg Schools;Sharon Elementary;NotMet;82.9;17.0;0;80;B
Rowan-Salisbury Schools;North Rowan Elementary;NotMet;27.1;78.3;0;33;F
Charlotte-Mecklenburg Schools;Pineville Elementary;Met;53.6;59.5;0;58;C
Lincoln County Schools;Catawba Springs Elementary;Exceeded;77.8;30.3;0;81;B
Iredell-Statesville Schools;East Iredell Middle;Exceeded;42.9;69.4;0;52;D
